Component name;English;Czech;
labelLanguage;Language:;Jazyk:;
buttonsShowHelp;Help;Nápověda;
labelCoordinateSystem;Coordinate system;Soustava souřadnic;
checkBoxShowGrid;Show grid;Mřížka;
checkBoxShowGridLabels;Show grid's labels;Popisky mřížky;
checkBoxShowPointer;Show pointer;Ukazovátko;
buttonShowHideMarkSettings;Mark axis;Posunutí os;
buttonExportCoordinateSystem;Take a snap;Vyfotit;
labelMultipleFunctionsControl;List of functions;Seznam funkcí;
buttonLoadFunctions;Load Functions;Načíst funkce;
buttonSaveFunctions;Save Functions;Uložit funkce;
labelFunctionControl;Function;Funkce;
buttonShowHideButtons;Buttons;Tlačítka;
equationInput;Relation;Předpis;
checkBoxInverse;Inverse;Inverzní;
checkBoxFreeFunction;Free function;Uvolnit funkci;
labelColor;Color;Barva;
checkBoxKeepOrigin;Keep origin;Ponechat původní;
buttonDraw;Draw;Vykreslit;
labelAxisXShift;x-axis offset:;Posunutí na ose x:;
labelAxisYShift;y-axis offset:;Posunutí na ose y:;
